year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude,time
2022,1,4,1,47,18.78,27.799,100.556,10,ML,0.9,2022-01-04 01:47:18.780
2022,1,4,1,54,27.5,27.816,100.654,10,ML,0.9,2022-01-04 01:54:27.500
2022,1,4,1,55,22.39,27.81,100.656,8,ML,0.4,2022-01-04 01:55:22.390
2022,1,4,1,59,23.83,27.846,100.66,5,ML,0.2,2022-01-04 01:59:23.830
2022,1,4,2,1,23.05,28.233,104.865,9,ML,0.3,2022-01-04 02:01:23.050
2022,1,4,2,8,24.89,27.813,100.551,9,ML,0.8,2022-01-04 02:08:24.890
2022,1,4,2,8,36.22,27.839,100.569,10,ML,0.9,2022-01-04 02:08:36.220
2022,1,4,2,17,49.13,28.933,102.479,22,ML,1.7,2022-01-04 02:17:49.130
2022,1,4,2,43,12.07,28.387,104.835,6,ML,1.2,2022-01-04 02:43:12.070
2022,1,4,2,51,30.17,28.426,104.778,10,ML,0.2,2022-01-04 02:51:30.170
2022,1,4,3,17,4.85,27.848,100.568,10,ML,0.2,2022-01-04 03:17:04.850
2022,1,4,3,31,42.7,27.832,100.634,10,ML,0.9,2022-01-04 03:31:42.700
2022,1,4,3,32,51.47,27.859,100.671,5,ML,-0.2,2022-01-04 03:32:51.470
2022,1,4,3,33,6.28,27.815,100.636,10,ML,0.0,2022-01-04 03:33:06.280
2022,1,4,3,49,0.0,27.853,100.564,10,ML,0.4,2022-01-04 03:49:00.000
2022,1,4,3,54,9.55,27.871,100.654,2,ML,0.2,2022-01-04 03:54:09.550
2022,1,4,3,59,32.45,27.823,100.601,10,ML,0.2,2022-01-04 03:59:32.450
2022,1,4,4,2,57.82,27.813,100.647,10,ML,-0.0,2022-01-04 04:02:57.820
2022,1,4,4,5,56.13,27.813,100.636,11,ML,3.0,2022-01-04 04:05:56.130
2022,1,4,4,11,3.48,27.116,102.856,14,ML,1.0,2022-01-04 04:11:03.480
2022,1,4,4,18,41.44,27.823,100.636,10,ML,0.1,2022-01-04 04:18:41.440
2022,1,4,4,20,1.51,27.837,100.646,10,ML,0.6,2022-01-04 04:20:01.510
2022,1,4,4,22,46.19,27.114,102.854,15,ML,1.6,2022-01-04 04:22:46.190
2022,1,4,4,22,53.05,27.821,100.63,10,ML,-0.0,2022-01-04 04:22:53.050
2022,1,4,4,24,26.95,27.83,100.57,10,ML,0.5,2022-01-04 04:24:26.950
2022,1,4,4,36,32.76,27.832,100.629,10,ML,0.4,2022-01-04 04:36:32.760
2022,1,4,4,49,30.1,27.879,100.578,10,ML,1.1,2022-01-04 04:49:30.100
2022,1,4,4,55,1.35,27.117,102.849,5,ML,1.7,2022-01-04 04:55:01.350
2022,1,4,4,59,49.49,27.825,100.634,10,ML,0.4,2022-01-04 04:59:49.490
2022,1,4,5,2,53.56,28.189,105.041,15,ML,0.6,2022-01-04 05:02:53.560
2022,1,4,5,7,21.99,27.811,100.554,10,ML,1.0,2022-01-04 05:07:21.990
2022,1,4,5,9,58.09,27.814,100.629,10,ML,0.0,2022-01-04 05:09:58.090
2022,1,4,5,15,12.06,29.436,104.829,10,ML,2.0,2022-01-04 05:15:12.060
2022,1,4,5,16,14.19,27.842,100.596,10,ML,1.9,2022-01-04 05:16:14.190
2022,1,4,5,19,48.97,27.809,100.669,10,ML,0.4,2022-01-04 05:19:48.970
2022,1,4,5,30,8.48,27.845,100.657,5,ML,0.8,2022-01-04 05:30:08.480
2022,1,4,5,30,28.76,27.807,100.662,10,ML,0.6,2022-01-04 05:30:28.760
2022,1,4,5,39,19.14,27.821,100.637,10,ML,0.1,2022-01-04 05:39:19.140
2022,1,4,5,48,46.72,27.849,100.615,10,ML,1.2,2022-01-04 05:48:46.720
