station_id,waveform_id,phase_time,phase_type,phase_score,phase_amplitude
QJ02,QJ.QJ02.20221119.160038142,2022-11-19 16:02:55.700,P,0.19230769230769235,304.4322204589844
QJ02,QJ.QJ02.20221119.160038142,2022-11-19 16:00:59.180,S,0.1538461538461539,172.413818359375
QJ02,QJ.QJ02.20221119.160038143,2022-11-19 16:03:50.820,P,0.17948717948717963,532.1351318359375
QJ02,QJ.QJ02.20221119.160038143,2022-11-19 16:03:52.440,S,0.1367521367521369,532.1351318359375
QJ02,QJ.QJ02.20221119.160038144,2022-11-19 16:09:00.090,P,0.1538461538461539,71.05506896972656
QJ02,QJ.QJ02.20221119.160038144,2022-11-19 16:09:07.560,S,0.10256410256410267,71.05506896972656
QJ02,QJ.QJ02.20221119.160038146,2022-11-19 16:15:15.810,P,0.1410256410256411,1113.006591796875
QJ02,QJ.QJ02.20221119.160038146,2022-11-19 16:15:18.380,S,0.18803418803418812,1113.006591796875
QJ02,QJ.QJ02.20221119.160038147,2022-11-19 16:17:12.110,P,0.029914529914530016,67.83287048339844
QJ02,QJ.QJ02.20221119.160038147,2022-11-19 16:18:14.160,S,0.07692307692307694,12.392329216003418
QJ02,QJ.QJ02.20221119.160038148,2022-11-19 16:20:58.270,P,0.08547008547008556,87.23399353027344
QJ02,QJ.QJ02.20221119.160038148,2022-11-19 16:21:01.620,S,0.1495726495726496,87.23399353027344
QJ02,QJ.QJ02.20221119.170038149,2022-11-19 16:24:41.450,P,0.17094017094017103,57.75416564941406
QJ02,QJ.QJ02.20221119.170038149,2022-11-19 16:23:56.220,S,0.01282051282051281,157.15162658691406
QJ02,QJ.QJ02.20221119.170038150,2022-11-19 16:27:25.870,P,0.1239316239316241,1281.805419921875
QJ02,QJ.QJ02.20221119.170038150,2022-11-19 16:27:26.900,S,0.11111111111111117,1281.805419921875
QJ02,QJ.QJ02.20221119.170038151,2022-11-19 16:31:53.570,P,0.16239316239316254,216.9873504638672
QJ02,QJ.QJ02.20221119.170038151,2022-11-19 16:31:55.650,S,0.17948717948717963,176.39007568359375
QJ02,QJ.QJ02.20221119.170038152,2022-11-19 16:33:30.840,P,0.20940170940170946,954.192626953125
QJ02,QJ.QJ02.20221119.170038152,2022-11-19 16:34:39.050,S,0.1495726495726496,244.262451171875
QJ02,QJ.QJ02.20221119.170038153,2022-11-19 16:37:26.660,P,0.06410256410256425,106.85555267333984
QJ02,QJ.QJ02.20221119.170038153,2022-11-19 16:37:29.000,S,0.1666666666666667,106.85555267333984
QJ02,QJ.QJ02.20221119.170038156,2022-11-19 16:49:38.470,P,0.03846153846153842,405.7306518554688
QJ02,QJ.QJ02.20221119.170038156,2022-11-19 16:49:42.760,S,0.10683760683760687,405.7306518554688
QJ02,QJ.QJ02.20221119.170038157,2022-11-19 16:51:51.050,P,0.21367521367521375,152.84642028808594
QJ02,QJ.QJ02.20221119.170038157,2022-11-19 16:51:53.100,S,0.23076923076923087,152.84642028808594
QJ02,QJ.QJ02.20221119.170038158,2022-11-19 16:53:26.500,P,0.14529914529914542,24.744707107543945
QJ02,QJ.QJ02.20221119.170038159,2022-11-19 16:57:56.220,P,0.1837606837606839,70.42975616455078
QJ02,QJ.QJ02.20221119.170038159,2022-11-19 16:57:59.240,S,0.14529914529914542,70.42975616455078
QJ02,QJ.QJ02.20221119.170038160,2022-11-19 17:01:22.080,P,0.06410256410256425,69.35894775390625
QJ02,QJ.QJ02.20221119.170038160,2022-11-19 17:02:35.900,S,0.1367521367521369,99.50486755371094
QJ02,QJ.QJ02.20221119.170038161,2022-11-19 17:03:21.810,P,0.23931623931623947,916.8933715820312
QJ02,QJ.QJ02.20221119.170038161,2022-11-19 17:03:23.720,S,0.1495726495726496,916.8933715820312
QJ02,QJ.QJ02.20221119.170038162,2022-11-19 17:09:59.990,P,0.01282051282051281,0.5894888639450073
QJ02,QJ.QJ02.20221119.170038162,2022-11-19 17:07:16.820,S,0.021367521367521413,97.17585754394533
QJ02,QJ.QJ02.20221119.170038163,2022-11-19 17:10:42.050,P,0.1367521367521369,65.58958435058594
QJ02,QJ.QJ02.20221119.170038163,2022-11-19 17:10:44.150,S,0.008547008547008605,54.13648986816406
